disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5203,,,,,433018.6,433018.6,,2020-07-21T00:00:00.000Z,,0,30922a86503f7a18633f8fe851003831,2020-07-21T11:55:32.542Z,5aa2d588cb4f0f7020b18907
5228,,,,,751759.24,643790.34,,2020-07-21T00:00:00.000Z,,0,bfc1f0f68d848fc84e73d6d9d12b3ecc,2020-07-21T11:55:32.600Z,5aa2d588cb4f0f7020b1890c
5189,,,,,10466399.5,403663.36,,2020-07-21T00:00:00.000Z,,12437517.06,56cc51b237c2223c14ad76f22cf5147d,2020-07-21T11:55:32.530Z,5aa2d588cb4f0f7020b18911
5214,,,,,,,,,,0,d1010577d0f96876171b21fb4dd88127,2020-06-02T13:22:22.554Z,5aa2d588cb4f0f7020b18916
5171,,,,,1082212.23,310991.97,,2020-07-21T00:00:00.000Z,,0,62799bed987db4bfc9051d120d49ada8,2020-07-21T11:55:32.498Z,5aa2d588cb4f0f7020b1891b
5196,,,,,1525602.04,,,2020-07-21T00:00:00.000Z,,0,e230281a0d4a50429e53ef9f64159b8d,2020-07-21T11:55:32.536Z,5aa2d588cb4f0f7020b18920
5221,,,,,,,,,,0,56d47a4a408aa8dd3578a6a13ff6ff46,2020-06-02T13:22:22.573Z,5aa2d588cb4f0f7020b18925
5138,,,,,2870.53,,,2020-07-21T00:00:00.000Z,,0,39c8f6d9f902d0a4e94e401324f1107c,2020-07-21T11:55:32.453Z,5aa2d588cb4f0f7020b188fa
5163,,,,,577945.32,7159.67,,2020-07-21T00:00:00.000Z,,1188774.5,1860b1f260aa7b1fe393b615e1e5bb73,2020-07-21T11:55:32.473Z,5aa2d588cb4f0f7020b188ff
5155,,,,,1143555.26,,,2020-07-21T00:00:00.000Z,,146369.96,99369b5080dea1326ef6f822b3cf8c36,2020-07-21T11:55:32.466Z,5aa2d588cb4f0f7020b188f9
5188,,,,,889917.46,39823.34,,2020-07-21T00:00:00.000Z,,0,9fc67128e4647cd2e003b0b6194301d2,2020-07-21T11:55:32.529Z,5aa2d588cb4f0f7020b18904
5158,,,,,415169.62,97469.35,,2020-07-21T00:00:00.000Z,,0,fdcab80a99c7b8b7bb2be56fc55460cc,2020-07-21T11:55:32.469Z,5aa2d588cb4f0f7020b188fe
5213,,,,,611931.28,367815.13,,2020-07-21T00:00:00.000Z,,0,37843b3668bf422f841b1a966eb1d7d3,2020-07-21T11:55:32.567Z,5aa2d588cb4f0f7020b18909
5183,,,,,2603777.75,61324.79,,2020-07-21T00:00:00.000Z,,80577.75,8b4d1ef42352129454444a5c9836998b,2020-07-21T11:55:32.525Z,5aa2d588cb4f0f7020b18903
5174,,,,,72527.19,27313.7,,2020-07-21T00:00:00.000Z,,0,9ee5ee5ae8f6c9fa4af5268cc4df4310,2020-07-21T11:55:32.505Z,5aa2d588cb4f0f7020b1890e
5208,,,,,,,,,,0,8bc237001c7dffc2265e3ab9c538a012,2020-06-02T13:22:22.550Z,5aa2d588cb4f0f7020b18908
5199,,,,,3180453.26,140465.3,,2020-07-21T00:00:00.000Z,,0,717a2aa1e486b5f7e7c7bf78aabf2806,2020-07-21T11:55:32.539Z,5aa2d588cb4f0f7020b18913
